"","index","word"
"1",1,"wow"
"2",2,"loved"
"3",3,"this"
"4",4,"place"
"5",5,"crust"
"6",6,"is"
"7",7,"not"
"8",8,"good"
"9",9,"tasty"
"10",10,"and"
"11",11,"the"
"12",12,"texture"
"13",13,"was"
"14",14,"just"
"15",15,"nasty"
"16",16,"stopped"
"17",17,"by"
"18",18,"during"
"19",19,"late"
"20",20,"may"
"21",21,"bank"
"22",22,"holiday"
"23",23,"off"
"24",24,"rick"
"25",25,"steve"
"26",26,"recommendation"
"27",27,"it"
"28",28,"selection"
"29",29,"on"
"30",30,"menu"
"31",31,"great"
"32",32,"so"
"33",33,"were"
"34",34,"prices"
"35",35,"now"
"36",36,"i"
"37",37,"am"
"38",38,"getting"
"39",39,"angry"
"40",40,"want"
"41",41,"my"
"42",42,"damn"
"43",43,"pho"
"44",44,"honeslty"
"45",45,"didn't"
"46",46,"taste"
"47",47,"that"
"48",48,"fresh"
"49",49,"potatoes"
"50",50,"like"
"51",51,"rubber"
"52",52,"you"
"53",53,"could"
"54",54,"tell"
"55",55,"they"
"56",56,"had"
"57",57,"been"
"58",58,"made"
"59",59,"up"
"60",60,"ahead"
"61",61,"of"
"62",62,"time"
"63",63,"being"
"64",64,"kept"
"65",65,"under"
"66",66,"a"
"67",67,"warmer"
"68",68,"fries"
"69",69,"too"
"70",70,"touch"
"71",71,"service"
"72",72,"very"
"73",73,"prompt"
"74",74,"would"
"75",75,"go"
"76",76,"back"
"77",77,"cashier"
"78",78,"no"
"79",79,"care"
"80",80,"what"
"81",81,"ever"
"82",82,"to"
"83",83,"say"
"84",84,"still"
"85",85,"ended"
"86",86,"wayyy"
"87",87,"overpriced"
"88",88,"tried"
"89",89,"cape"
"90",90,"cod"
"91",91,"ravoli"
"92",92,"chicken"
"93",93,"with"
"94",94,"cranberry"
"95",95,"mmmm"
"96",96,"disgusted"
"97",97,"because"
"98",98,"pretty"
"99",99,"sure"
"100",100,"human"
"101",101,"hair"
"102",102,"shocked"
"103",103,"signs"
"104",104,"indicate"
"105",105,"cash"
"106",106,"only"
"107",107,"highly"
"108",108,"recommended"
"109",109,"waitress"
"110",110,"little"
"111",111,"slow"
"112",112,"in"
"113",113,"worth"
"114",114,"your"
"115",115,"let"
"116",116,"alone"
"117",117,"vegas"
"118",118,"did"
"119",119,"at"
"120",120,"all"
"121",121,"burrittos"
"122",122,"blah"
"123",123,"food"
"124",124,"amazing"
"125",125,"also"
"126",126,"cute"
"127",127,"less"
"128",128,"interior"
"129",129,"beautiful"
"130",130,"performed"
"131",131,"that's"
"132",132,"right"
"133",133,"red"
"134",134,"velvet"
"135",135,"cake"
"136",136,"ohhh"
"137",137,"stuff"
"138",138,"never"
"139",139,"brought"
"140",140,"salad"
"141",141,"we"
"142",142,"asked"
"143",143,"for"
"144",144,"hole"
"145",145,"wall"
"146",146,"has"
"147",147,"mexican"
"148",148,"street"
"149",149,"tacos"
"150",150,"friendly"
"151",151,"staff"
"152",152,"took"
"153",153,"an"
"154",154,"hour"
"155",155,"get"
"156",156,"our"
"157",157,"4"
"158",158,"tables"
"159",159,"restaurant"
"160",160,"luke"
"161",161,"warm"
"162",162,"sever"
"163",163,"running"
"164",164,"around"
"165",165,"he"
"166",166,"totally"
"167",167,"overwhelmed"
"168",168,"worst"
"169",169,"salmon"
"170",170,"sashimi"
"171",171,"there"
"172",172,"are"
"173",173,"combos"
"174",174,"burger"
"175",175,"beer"
"176",176,"23"
"177",177,"which"
"178",178,"decent"
"179",179,"deal"
"180",180,"final"
"181",181,"blow"
"182",182,"found"
"183",183,"accident"
"184",184,"be"
"185",185,"happier"
"186",186,"seems"
"187",187,"quick"
"188",188,"grab"
"189",189,"bite"
"190",190,"some"
"191",191,"familiar"
"192",192,"pub"
"193",193,"but"
"194",194,"do"
"195",195,"yourself"
"196",196,"favor"
"197",197,"look"
"198",198,"elsewhere"
"199",199,"overall"
"200",200,"lot"
"201",201,"redeeming"
"202",202,"quality"
"203",203,"inexpensive"
"204",204,"ample"
"205",205,"portions"
"206",206,"poor"
"207",207,"waiter"
"208",208,"me"
"209",209,"feel"
"210",210,"stupid"
"211",211,"every"
"212",212,"came"
"213",213,"table"
"214",214,"first"
"215",215,"visit"
"216",216,"hiro"
"217",217,"delight"
"218",218,"sucks"
"219",219,"shrimp"
"220",220,"tender"
"221",221,"moist"
"222",222,"enough"
"223",223,"drag"
"224",224,"into"
"225",225,"establishment"
"226",226,"again"
"227",227,"hard"
"228",228,"judge"
"229",229,"whether"
"230",230,"these"
"231",231,"sides"
"232",232,"grossed"
"233",233,"out"
"234",234,"melted"
"235",235,"styrofoam"
"236",236,"eat"
"237",237,"fear"
"238",238,"sick"
"239",239,"positive"
"240",240,"note"
"241",241,"server"
"242",242,"attentive"
"243",243,"provided"
"244",244,"frozen"
"245",245,"pucks"
"246",246,"disgust"
"247",247,"people"
"248",248,"behind"
"249",249,"register"
"250",250,"thing"
"251",251,"prime"
"252",252,"rib"
"253",253,"dessert"
"254",254,"section"
"255",255,"it's"
"256",256,"bad"
"257",257,"generic"
"258",258,"beef"
"259",259,"cooked"
"260",260,"if"
"261",261,"sandwich"
"262",262,"any"
"263",263,"firehouse"
"264",264,"side"
"265",265,"greek"
"266",266,"dressing"
"267",267,"pita"
"268",268,"hummus"
"269",269,"refreshing"
"270",270,"ordered"
"271",271,"duck"
"272",272,"rare"
"273",273,"pink"
"274",274,"inside"
"275",275,"nice"
"276",276,"char"
"277",277,"outside"
"278",278,"after"
"279",279,"us"
"280",280,"when"
"281",281,"realized"
"282",282,"husband"
"283",283,"left"
"284",284,"his"
"285",285,"sunglasses"
"286",286,"their"
"287",287,"chow"
"288",288,"mein"
"289",289,"have"
"290",290,"horrible"
"291",291,"attitudes"
"292",292,"towards"
"293",293,"customers"
"294",294,"talk"
"295",295,"down"
"296",296,"each"
"297",297,"one"
"298",298,"don't"
"299",299,"enjoy"
"300",300,"portion"
"301",301,"huge"
"302",302,"servers"
"303",303,"wonderful"
"304",304,"imaginative"
"305",305,"heart"
"306",306,"attack"
"307",307,"grill"
"308",308,"downtown"
"309",309,"absolutely"
"310",310,"flat"
"311",311,"lined"
"312",312,"excuse"
"313",313,"much"
"314",314,"seafood"
"315",315,"5"
"316",316,"strings"
"317",317,"pasta"
"318",318,"bottom"
"319",319,"amount"
"320",320,"sauce"
"321",321,"over"
"322",322,"power"
"323",323,"scallop"
"324",324,"perfectly"
"325",325,"ripped"
"326",326,"banana"
"327",327,"petrified"
"328",328,"tasteless"
"329",329,"least"
"330",330,"think"
"331",331,"refill"
"332",332,"water"
"333",333,"before"
"334",334,"struggle"
"335",335,"wave"
"336",336,"10"
"337",337,"minutes"
"338",338,"receives"
"339",339,"stars"
"340",340,"appetizers"
"341",341,"cocktails"
"342",342,"handmade"
"343",343,"delicious"
"344",344,"we'd"
"345",345,"definitely"
"346",346,"here"
"347",347,"glad"
"348",348,"give"
"349",349,"military"
"350",350,"discount"
"351",351,"always"
"352",352,"dos"
"353",353,"gringos"
"354",354,"update"
"355",355,"went"
"356",356,"second"
"357",357,"as"
"358",358,"got"
"359",359,"apparently"
"360",360,"heard"
"361",361,"salt"
"362",362,"batter"
"363",363,"fish"
"364",364,"chewy"
"365",365,"way"
"366",366,"finish"
"367",367,"included"
"368",368,"tastings"
"369",369,"2"
"370",370,"drinks"
"371",371,"jeff"
"372",372,"above"
"373",373,"beyond"
"374",374,"expected"
"375",375,"really"
"376",376,"rice"
"377",377,"meh"
"378",378,"30"
"379",379,"min"
"380",380,"milkshake"
"381",381,"nothing"
"382",382,"more"
"383",383,"than"
"384",384,"chocolate"
"385",385,"milk"
"386",386,"guess"
"387",387,"should"
"388",388,"known"
"389",389,"suck"
"390",390,"excalibur"
"391",391,"use"
"392",392,"common"
"393",393,"sense"
"394",394,"dish"
"395",395,"quite"
"396",396,"appalling"
"397",397,"value"
"398",398,"well"
"399",399,"times"
"400",400,"customer"
"401",401,"sweet"
"402",402,"potato"
"403",403,"seasoned"
"404",404,"today"
"405",405,"i've"
"406",406,"lunch"
"407",407,"buffet"
"408",408,"cheated"
"409",409,"wasting"
"410",410,"eating"
"411",411,"opportunity"
"412",412,"going"
"413",413,"company"
"414",414,"coming"
"415",415,"experiencing"
"416",416,"underwhelming"
"417",417,"relationship"
"418",418,"where"
"419",419,"both"
"420",420,"parties"
"421",421,"can't"
"422",422,"wait"
"423",423,"other"
"424",424,"person"
"425",425,"ask"
"426",426,"break"
"427",427,"walked"
"428",428,"smelled"
"429",429,"old"
"430",430,"grease"
"431",431,"trap"
"432",432,"others"
"433",433,"turkey"
"434",434,"roast"
"435",435,"bland"
"436",436,"pan"
"437",437,"cakes"
"438",438,"everyone"
"439",439,"raving"
"440",440,"about"
"441",441,"sugary"
"442",442,"disaster"
"443",443,"tailored"
"444",444,"palate"
"445",445,"six"
"446",446,"year"
"447",447,"love"
"448",448,"spring"
"449",449,"rolls"
"450",450,"oh"
"451",451,"yummy"
"452",452,"try"
"453",453,"meat"
"454",454,"ratio"
"455",455,"tenders"
"456",456,"unsatisfying"
"457",457,"omelets"
"458",458,"die"
"459",459,"everything"
"460",460,"summary"
"461",461,"largely"
"462",462,"disappointing"
"463",463,"dining"
"464",464,"experience"
"465",465,"sexy"
"466",466,"party"
"467",467,"mouth"
"468",468,"you're"
"469",469,"outrageously"
"470",470,"flirting"
"471",471,"hottest"
"472",472,"rock"
"473",473,"casino"
"474",474,"will"
"475",475,"step"
"476",476,"forward"
"477",477,"best"
"478",478,"breakfast"
"479",479,"bye"
"480",480,"tip"
"481",481,"lady"
"482",482,"we'll"
"483",483,"arrived"
"484",484,"quickly"
"485",485,"cafe"
"486",486,"serves"
"487",487,"fantastic"
"488",488,"wife"
"489",489,"loves"
"490",490,"roasted"
"491",491,"garlic"
"492",492,"bone"
"493",493,"marrow"
"494",494,"added"
"495",495,"extra"
"496",496,"meal"
"497",497,"another"
"498",498,"helpful"
"499",499,"bloddy"
"500",500,"mary's"
"501",501,"town"
"502",502,"price"
"503",503,"cannot"
"504",504,"beat"
"505",505,"mussels"
"506",506,"wine"
"507",507,"reduction"
"508",508,"dishes"
"509",509,"better"
"510",510,"buffets"
"511",511,"tigerlilly"
"512",512,"afternoon"
"513",513,"bartender"
"514",514,"personable"
"515",515,"ambience"
"516",516,"music"
"517",517,"playing"
"518",518,"next"
"519",519,"trip"
"520",520,"sooooo"
"521",521,"real"
"522",522,"sushi"
"523",523,"lovers"
"524",524,"let's"
"525",525,"honest"
"526",526,"yama"
"527",527,"40min"
"528",528,"passed"
"529",529,"between"
"530",530,"ordering"
"531",531,"arriving"
"532",532,"wasn't"
"533",533,"busy"
"534",534,"thai"
"535",535,"spicy"
"536",536,"check"
"537",537,"gross"
"538",538,"atmosphere"
"539",539,"kind"
"540",540,"mess"
"541",541,"steak"
"542",542,"although"
"543",543,"liked"
"544",544,"sound"
"545",545,"actual"
"546",546,"bit"
"547",547,"know"
"548",548,"how"
"549",549,"managed"
"550",550,"served"
"551",551,"blandest"
"552",552,"eaten"
"553",553,"preparing"
"554",554,"indian"
"555",555,"cuisine"
"556",556,"boot"
"557",557,"worries"
"558",558,"fine"
"559",559,"guys"
"560",560,"steaks"
"561",561,"loving"
"562",562,"son"
"563",563,"who"
"564",564,"places"
"565",565,"said"
"566",566,"he's"
"567",567,"thought"
"568",568,"you'd"
"569",569,"venture"
"570",570,"further"
"571",571,"away"
"572",572,"hit"
"573",573,"spot"
"574",574,"night"
"575",575,"host"
"576",576,"lack"
"577",577,"word"
"578",578,"bitches"
"579",579,"liking"
"580",580,"number"
"581",581,"reasons"
"582",582,"waste"
"583",583,"reviewing"
"584",584,"i'll"
"585",585,"leave"
"586",586,"phenomenal"
"587",587,"ambiance"
"588",588,"wouldn't"
"589",589,"return"
"590",590,"venturing"
"591",591,"strip"
"592",592,"pork"
"593",593,"belly"
"594",594,"i'm"
"595",595,"mediocre"
"596",596,"penne"
"597",597,"vodka"
"598",598,"excellent"
"599",599,"including"
"600",600,"massive"
"601",601,"meatloaf"
"602",602,"crispy"
"603",603,"wrap"
"604",604,"delish"
"605",605,"tuna"
"606",606,"melt"
"607",607,"burgers"
"608",608,"management"
"609",609,"rude"
"610",610,"nyc"
"611",611,"bagels"
"612",612,"selections"
"613",613,"cream"
"614",614,"cheese"
"615",615,"lox"
"616",616,"capers"
"617",617,"even"
"618",618,"subway"
"619",619,"fact"
"620",620,"come"
"621",621,"meet"
"622",622,"expectations"
"623",623,"seriously"
"624",624,"solid"
"625",625,"bars"
"626",626,"extremely"
"627",627,"many"
"628",628,"restaurants"
"629",629,"dine"
"630",630,"weekend"
"631",631,"drink"
"632",632,"empty"
"633",633,"suggestions"
"634",634,"or"
"635",635,"rarely"
"636",636,"checked"
"637",637,"ate"
"638",638,"disappointed"
"639",639,"curry"
"640",640,"bamboo"
"641",641,"shoots"
"642",642,"blanket"
"643",643,"moz"
"644",644,"top"
"645",645,"done"
"646",646,"cover"
"647",647,"subpar"
"648",648,"bathrooms"
"649",649,"clean"
"650",650,"itself"
"651",651,"decorated"
"652",652,"changing"
"653",653,"considering"
"654",654,"3"
"655",655,"pace"
"656",656,"thumbs"
"657",657,"watched"
"658",658,"pay"
"659",659,"attention"
"660",660,"ignore"
"661",661,"fiancã"
"662",662,"middle"
"663",663,"day"
"664",664,"greeted"
"665",665,"seated"
"666",666,"mandalay"
"667",667,"bay"
"668",668,"waited"
"669",669,"forty"
"670",670,"five"
"671",671,"vain"
"672",672,"crostini"
"673",673,"stale"
"674",674,"highlights"
"675",675,"nigiri"
"676",676,"joint"
"677",677,"different"
"678",678,"cut"
"679",679,"piece"
"680",680,"s"
"681",681,"flavored"
"682",682,"voodoo"
"683",683,"i'd"
"684",684,"since"
"685",685,"gluten"
"686",686,"free"
"687",687,"several"
"688",688,"years"
"689",689,"ago"
"690",690,"unfortunately"
"691",691,"must"
"692",692,"bakery"
"693",693,"leftover"
"694",694,"relocated"
"695",695,"impressed"
"696",696,"immediately"
"697",697,"diverse"
"698",698,"reasonably"
"699",699,"priced"
"700",700,"avoid"
"701",701,"cost"
"702",702,"full"
"703",703,"hands"
"704",704,"phoenix"
"705",705,"metro"
"706",706,"area"
"707",707,"looking"
"708",708,"treated"
"709",709,"bacon"
"710",710,"hella"
"711",711,"salty"
"712",712,"spinach"
"713",713,"avocado"
"714",714,"ingredients"
"715",715,"sad"
"716",716,"literally"
"717",717,"zero"
"718",718,"used"
"719",719,"menus"
"720",720,"handed"
"721",721,"ladies"
"722",722,"listed"
"723",723,"waitresses"
"724",724,"lordy"
"725",725,"khao"
"726",726,"soi"
"727",727,"missed"
"728",728,"terrific"
"729",729,"thrilled"
"730",730,"accommodations"
"731",731,"vegetarian"
"732",732,"daughter"
"733",733,"perhaps"
"734",734,"caught"
"735",735,"them"
"736",736,"judging"
"737",737,"reviews"
"738",738,"inspired"
"739",739,"leaves"
"740",740,"desired"
"741",741,"modern"
"742",742,"hip"
"743",743,"while"
"744",744,"maintaining"
"745",745,"coziness"
"746",746,"weekly"
"747",747,"haunt"
"748",748,"once"
"749",749,"sat"
"750",750,"20"
"751",751,"asking"
"752",752,"take"
"753",753,"order"
"754",754,"flavor"
"755",755,"overcooked"
"756",756,"charcoal"
"757",757,"decided"
"758",758,"send"
"759",759,"looked"
"760",760,"she"
"761",761,"verge"
"762",762,"having"
"763",763,"dressed"
"764",764,"rudely"
"765",765,"probably"
"766",766,"dirt"
"767",767,"hits"
"768",768,"something"
"769",769,"healthy"
"770",770,"lacking"
"771",771,"quantity"
"772",772,"lemon"
"773",773,"raspberry"
"774",774,"ice"
"775",775,"cocktail"
"776",776,"incredible"
"777",777,"sucked"
"778",778,"imagined"
"779",779,"interesting"
"780",780,"decor"
"781",781,"crepe"
"782",782,"station"
"783",783,"hot"
"784",784,"bread"
"785",785,"butter"
"786",786,"home"
"787",787,"chips"
"788",788,"bits"
"789",789,"original"
"790",790,"can"
"791",791,"watch"
"792",792,"egg"
"793",793,"gyros"
"794",794,"missing"
"795",795,"wings"
"796",796,"feeling"
"797",797,"satisfied"
"798",798,"joey's"
"799",799,"voted"
"800",800,"dog"
"801",801,"valley"
"802",802,"readers"
"803",803,"magazine"
"804",804,"bowl"
"805",805,"live"
"806",806,"fridays"
"807",807,"blows"
"808",808,"insulted"
"809",809,"felt"
"810",810,"disrespected"
"811",811,"drive"
"812",812,"things"
"813",813,"exceeding"
"814",814,"hope"
"815",815,"dreamed"
"816",816,"serivce"
"817",817,"help"
"818",818,"brunch"
"819",819,"inviting"
"820",820,"lived"
"821",821,"1979"
"822",822,"last"
"823",823,"stepped"
"824",824,"foot"
"825",825,"mixed"
"826",826,"mushrooms"
"827",827,"yukon"
"828",828,"gold"
"829",829,"puree"
"830",830,"white"
"831",831,"corn"
"832",832,"beateous"
"833",833,"bug"
"834",834,"showed"
"835",835,"given"
"836",836,"climbing"
"837",837,"kitchen"
"838",838,"we're"
"839",839,"waiting"
"840",840,"her"
"841",841,"soon"
"842",842,"friend"
"843",843,"tartar"
"844",844,"won't"
"845",845,"though"
"846",846,"soggy"
"847",847,"jamaican"
"848",848,"mojitos"
"849",849,"small"
"850",850,"rich"
"851",851,"accordingly"
"852",852,"shower"
"853",853,"rinse"
"854",854,"unless"
"855",855,"mind"
"856",856,"nude"
"857",857,"see"
"858",858,"lobster"
"859",859,"bisque"
"860",860,"bussell"
"861",861,"sprouts"
"862",862,"risotto"
"863",863,"filet"
"864",864,"needed"
"865",865,"pepper"
"866",866,"course"
"867",867,"none"
"868",868,"hopefully"
"869",869,"bodes"
"870",870,"business"
"871",871,"someone"
"872",872,"cook"
"873",873,"either"
"874",874,"cold"
"875",875,"wrapped"
"876",876,"dates"
"877",877,"unbelievable"
"878",878,"bargain"
"879",879,"folks"
"880",880,"otto"
"881",881,"make"
"882",882,"welcome"
"883",883,"special"
"884",884,"mains"
"885",885,"uninspired"
"886",886,"stop"
"887",887,"whenever"
"888",888,"isn't"
"889",889,"then"
"890",890,"dealing"
"891",891,"world's"
"892",892,"annoying"
"893",893,"drunk"
"894",894,"fun"
"895",895,"chef"
"896",896,"double"
"897",897,"cheeseburger"
"898",898,"single"
"899",899,"patty"
"900",900,"falling"
"901",901,"apart"
"902",902,"picture"
"903",903,"uploaded"
"904",904,"yeah"
"905",905,"couple"
"906",906,"sporting"
"907",907,"events"
"908",908,"walls"
"909",909,"covered"
"910",910,"tv's"
"911",911,"possible"
"912",912,"they'd"
"913",913,"descriptions"
"914",914,"yum"
"915",915,"eel"
"916",916,"yet"
"917",917,"mayo"
"918",918,"sauces"
"919",919,"hardest"
"920",920,"decision"
"921",921,"honestly"
"922",922,"m's"
"923",923,"supposed"
"924",924,"rolled"
"925",925,"eyes"
"926",926,"stayed"
"927",927,"providing"
"928",928,"money"
"929",929,"flavourful"
"930",930,"almost"
"931",931,"building"
"932",932,"freezing"
"933",933,"reviewer"
"934",934,"couldn't"
"935",935,"close"
"936",936,"point"
"937",937,"flavorful"
"938",938,"delights"
"939",939,"ayce"
"940",940,"lighting"
"941",941,"dark"
"942",942,"set"
"943",943,"mood"
"944",944,"based"
"945",945,"sub"
"946",946,"par"
"947",947,"received"
"948",948,"effort"
"949",949,"show"
"950",950,"gratitude"
"951",951,"owner's"
"952",952,"privileged"
"953",953,"working"
"954",954,"creamy"
"955",955,"parents"
"956",956,"most"
"957",957,"similar"
"958",958,"complaints"
"959",959,"silently"
"960",960,"pizza"
"961",961,"peanut"
"962",962,"7"
"963",963,"fast"
"964",964,"would've"
"965",965,"godfathers"
"966",966,"tough"
"967",967,"short"
"968",968,"sticks"
"969",969,"few"
"970",970,"recall"
"971",971,"charged"
"972",972,"tap"
"973",973,"exquisite"
"974",974,"generous"
"975",975,"plus"
"976",976,"8"
"977",977,"bucks"
"978",978,"thus"
"979",979,"far"
"980",980,"visited"
"981",981,"twice"
"982",982,"self"
"983",983,"proclaimed"
"984",984,"coffee"
"985",985,"wildly"
"986",986,"veggitarian"
"987",987,"platter"
"988",988,"world"
"989",989,"cant"
"990",990,"wrong"
"991",991,"madison"
"992",992,"ironman"
"993",993,"chefs"
"994",994,"job"
"995",995,"from"
"996",996,"dedicated"
"997",997,"boba"
"998",998,"tea"
"999",999,"spots"
"1000",1000,"jenni"
"1001",1001,"patio"
"1002",1002,"outstanding"
"1003",1003,"goat"
"1004",1004,"taco"
"1005",1005,"skimp"
"1006",1006,"mac"
"1007",1007,"bachi"
"1008",1008,"friend's"
"1009",1009,"stinks"
"1010",1010,"recommend"
"1011",1011,"salads"
"1012",1012,"burned"
"1013",1013,"saganaki"
"1014",1014,"100"
"1015",1015,"hate"
"1016",1016,"disagree"
"1017",1017,"fellow"
"1018",1018,"yelpers"
"1019",1019,"hours"
"1020",1020,"pizzas"
"1021",1021,"later"
"1022",1022,"why"
"1023",1023,"neighborhood"
"1024",1024,"convenient"
"1025",1025,"location"
"1026",1026,"pulled"
"1027",1027,"soooo"
"1028",1028,"incredibly"
"1029",1029,"prepared"
"1030",1030,"gave"
"1031",1031,"1"
"1032",1032,"star"
"1033",1033,"rating"
"1034",1034,"please"
"1035",1035,"third"
"1036",1036,"writing"
"1037",1037,"review"
"1038",1038,"stay"
"1039",1039,"stir"
"1040",1040,"fried"
"1041",1041,"noodles"
"1042",1042,"chip"
"1043",1043,"count"
"1044",1044,"box"
"1045",1045,"12"
"1046",1046,"boring"
"1047",1047,"greedy"
"1048",1048,"corporation"
"1049",1049,"dime"
"1050",1050,"atrocious"
"1051",1051,"summer"
"1052",1052,"charming"
"1053",1053,"outdoor"
"1054",1054,"delightful"
"1055",1055,"expect"
"1056",1056,"toasted"
"1057",1057,"english"
"1058",1058,"muffin"
"1059",1059,"untoasted"
"1060",1060,"high"
"1061",1061,"house"
"1062",1062,"bus"
"1063",1063,"boy"
"1064",1064,"hand"
"1065",1065,"friends"
"1066",1066,"basically"
"1067",1067,"figured"
"1068",1068,"joke"
"1069",1069,"making"
"1070",1070,"publicly"
"1071",1071,"loudly"
"1072",1072,"bbq"
"1073",1073,"lighter"
"1074",1074,"fare"
"1075",1075,"reasonable"
"1076",1076,"pricing"
"1077",1077,"public"
"1078",1078,"ways"
"1079",1079,"two"
"1080",1080,"happy"
"1081",1081,"downside"
"1082",1082,"without"
"1083",1083,"doubt"
"1084",1084,"exceptional"
"1085",1085,"months"
"1086",1086,"returned"
"1087",1087,"favorite"
"1088",1088,"shawarrrrrrma"
"1089",1089,"black"
"1090",1090,"eyed"
"1091",1091,"peas"
"1092",1092,"unreal"
"1093",1093,"serve"
"1094",1094,"vinaigrette"
"1095",1095,"seen"
"1096",1096,"especially"
"1097",1097,"4.00"
"1098",1098,"mom"
"1099",1099,"bites"
"1100",1100,"pleasant"
"1101",1101,"honor"
"1102",1102,"hut"
"1103",1103,"coupons"
"1104",1104,"truly"
"1105",1105,"unbelievably"
"1106",1106,"pleased"
"1107",1107,"dirty"
"1108",1108,"seat"
"1109",1109,"covers"
"1110",1110,"replenished"
"1111",1111,"plain"
"1112",1112,"yucky"
"1113",1113,"standard"
"1114",1114,"17"
"1115",1115,"omg"
"1116",1116,"delicioso"
"1117",1117,"authentic"
"1118",1118,"spaghetti"
"1119",1119,"whatsoever"
"1120",1120,"vegetables"
"1121",1121,"feels"
"1122",1122,"driving"
"1123",1123,"tucson"
"1124",1124,"chipotle"
"1125",1125,"classy"
"1126",1126,"succulent"
"1127",1127,"baseball"
"1128",1128,"brick"
"1129",1129,"oven"
"1130",1130,"app"
"1131",1131,"multiple"
"1132",1132,"ten"
"1133",1133,"finally"
"1134",1134,"terrible"
"1135",1135,"equally"
"1136",1136,"shouldn't"
"1137",1137,"pancakes"
"1138",1138,"eggs"
"1139",1139,"genuinely"
"1140",1140,"enthusiastic"
"1141",1141,"treat"
"1142",1142,"sadly"
"1143",1143,"gordon"
"1144",1144,"ramsey's"
"1145",1145,"shall"
"1146",1146,"sharply"
"1147",1147,"evening"
"1148",1148,"life"
"1149",1149,"bathroom"
"1150",1150,"door"
"1151",1151,"offered"
"1152",1152,"tasted"
"1153",1153,"cool"
"1154",1154,"turn"
"1155",1155,"else"
"1156",1156,"buying"
"1157",1157,"handling"
"1158",1158,"large"
"1159",1159,"rowdy"
"1160",1160,"find"
"1161",1161,"despicable"
"1162",1162,"soup"
"1163",1163,"lukewarm"
"1164",1164,"craving"
"1165",1165,"deserves"
"1166",1166,"stomach"
"1167",1167,"ache"
"1168",1168,"rest"
"1169",1169,"dropped"
"1170",1170,"ball"
"1171",1171,"space"
"1172",1172,"tiny"
"1173",1173,"elegantly"
"1174",1174,"comfortable"
"1175",1175,"customize"
"1176",1176,"usual"
"1177",1177,"eggplant"
"1178",1178,"green"
"1179",1179,"bean"
"1180",1180,"fry"
"1181",1181,"beans"
"1182",1182,"outta"
"1183",1183,"part"
"1184",1184,"inconsiderate"
"1185",1185,"says"
"1186",1186,"hi"
"1187",1187,"dinners"
"1188",1188,"outshining"
"1189",1189,"halibut"
"1190",1190,"told"
"1191",1191,"happened"
"1192",1192,"car"
"1193",1193,"breaks"
"1194",1194,"front"
"1195",1195,"starving"
"1196",1196,"90"
"1197",1197,"disgrace"
"1198",1198,"def"
"1199",1199,"ethic"
"1200",1200,"continue"
"1201",1201,"andddd"
"1202",1202,"date"
"1203",1203,"anyone"
"1204",1204,"past"
"1205",1205,"stuffed"
"1206",1206,"located"
"1207",1207,"crystals"
"1208",1208,"shopping"
"1209",1209,"mall"
"1210",1210,"aria"
"1211",1211,"summarize"
"1212",1212,"nay"
"1213",1213,"transcendant"
"1214",1214,"brings"
"1215",1215,"joy"
"1216",1216,"memory"
"1217",1217,"pneumatic"
"1218",1218,"condiment"
"1219",1219,"dispenser"
"1220",1220,"ians"
"1221",1221,"kids"
"1222",1222,"lots"
"1223",1223,"options"
"1224",1224,"kiddos"
"1225",1225,"perfect"
"1226",1226,"family"
"1227",1227,"perfection"
"1228",1228,"impeccable"
"1229",1229,"simply"
"1230",1230,"disappointment"
"1231",1231,"bouchon"
"1232",1232,"accountant"
"1233",1233,"screwed"
"1234",1234,"reminds"
"1235",1235,"pop"
"1236",1236,"shops"
"1237",1237,"san"
"1238",1238,"francisco"
"1239",1239,"buldogis"
"1240",1240,"gourmet"
"1241",1241,"frustrated"
"1242",1242,"petty"
"1243",1243,"total"
"1244",1244,"iced"
"1245",1245,"hungry"
"1246",1246,"assure"
"1247",1247,"trying"
"1248",1248,"teeth"
"1249",1249,"sore"
"1250",1250,"completely"
"1251",1251,"enjoyed"
"1252",1252,"become"
"1253",1253,"regular"
"1254",1254,"needs"
"1255",1255,"professional"
"1256",1256,"until"
